Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2017/12/29 8:20:38 p. m. GMT-5,Junín,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,No,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Zend Framework,jQuery;jQuery UI;Backbone.js;Kendo,,,MySQL;Microsoft SQL Server,MongoDB;Redis;Apache Cassandra,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Webapps móviles (híbridas para cualquier plataforma),
2017/12/29 9:19:06 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,De 1 a 3 años,No conozco,Laravel (PHP);Django (Python),jQuery,,,MySQL;PostgreSQL,Redis,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),Apache Cordova;Phonegap
2017/12/29 9:25:54 p. m. GMT-5,Ica,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Django (Python);Ruby on Rails,jQuery;jQuery UI;React;Ember.js,SASS;LESS;Pug,Gulp;WebPack,MySQL;PostgreSQL,MongoDB,Amazon Web Services,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",Android;iOS,Ionic Framework;Reac Native
2017/12/29 9:29:43 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,GNU/Linux,Consola,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,,jQuery,,,MySQL,,Una nube privada (implementación a medida),"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Seminarios Web / Webinars",,
2017/12/29 9:48:26 p. m. GMT-5,Lima,24 - 30 años,Hombre,Escolar,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,Menos de 1 año,No conozco,No conozco,De 1 a 3 años,De 4 a 6 años,De 1 a 3 años,De 4 a 6 años,Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Zend Framework;Symfony (PHP);Sinatra (Ruby),jQuery;jQuery UI;AngularJS;React,SASS;LESS;CoffeeScript,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis,Amazon Web Services;Google Cloud Platform,Documentación en la web;Cursos en línea de plataformas de pago,Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova;Phonegap
2017/12/29 9:49:18 p. m. GMT-5,Lima,17 - 23 años,Mujer,Graduado de universidad,Menos de 1 año,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;AngularJS,,WebPack,MySQL,MongoDB,Una nube privada (implementación a medida),Documentación en la web;Cursos en línea de plataformas de pago;Cursos de educación continua (fuera de planes de estudio superior),Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2017/12/29 9:52:37 p. m. GMT-5,Lima,41 - 50 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 3501 a 4500 soles,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,Menos de 1 año,No conozco,No conozco,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;AngularJS,SASS;LESS,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Microsoft Azure,Documentación en la web;Cursos en línea de plataformas de pago,Android,Ionic Framework
2017/12/29 10:23:00 p. m. GMT-5,Callao,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);Spring Boot (Java),jQuery,,,MySQL;Microsoft SQL Server,,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android,
2017/12/29 10:27:16 p. m. GMT-5,Cusco,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,Trabajo como dependiente e independiente,No,No,,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP),jQuery;React;Vue.js,SASS;LESS,,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas",Android,Ionic Framework;NativeScript
2017/12/29 10:28:00 p. m. GMT-5,Lima,31 - 40 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,No,De 2501 a 3500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger,De 4 a 6 años,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Spring Boot (Java),jQuery;jQuery UI;AngularJS,,,MySQL;Microsoft SQL Server;Oracle Database,Redis;Apache Cassandra;CouchDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Windows mobile,
2017/12/29 11:06:01 p. m. GMT-5,La Libertad,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Consola;Depurador de JavaScript / Debugger,Menos de 1 año,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP),jQuery;jQuery UI,SASS,Gulp,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",,
2017/12/29 11:11:19 p. m. GMT-5,Lima,17 - 23 años,Mujer,Graduado de instituto,Menos de 1 año,Trabajo como dependiente,,,No,,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,jQuery;jQuery UI,,,MySQL;Microsoft SQL Server,MongoDB;Redis;Apache Cassandra;CouchDB,Una nube privada (implementación a medida);Google Cloud Platform,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto",Android,
2017/12/29 11:25:02 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Ha disminuido,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Rendimiento / Timeline / Performance,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,jQuery,SASS,Gulp,MySQL;Oracle Database,MongoDB,Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas",,
2017/12/29 11:51:30 p. m. GMT-5,Huánuco,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);Symfony (PHP),jQuery;jQuery UI;AngularJS;Vue.js,SASS,WebPack,MySQL;Microsoft SQL Server;Oracle Database,,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),NativeScript
2017/12/30 12:00:23 a. m. GMT-5,La Libertad,17 - 23 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 3501 a 4500 soles,Ha aumentado,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Rendimiento / Timeline / Performance,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python),jQuery;React;Vue.js,,WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services;Google Cloud Platform;Digital Ocean,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android;iOS,Aplicaciones nativas
2017/12/30 12:03:08 a. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,No trabajo actualmente,,,,,,,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,No conozco,Play Framework (Java),jQuery;jQuery UI;Framework7,Stylus,WebPack,MySQL;Microsoft SQL Server,Apache Cassandra,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Apache Cordova
2017/12/30 12:22:54 a. m. GMT-5,Callao,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer,Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Spring Boot (Java),jQuery,CoffeeScript,WebPack,MySQL;Microsoft SQL Server,MongoDB;Redis;Apache Cassandra;CouchDB,Una nube privada (implementación a medida),Documentación en la web;En la universidad o instituto;Seminarios Web / Webinars,Android,
2017/12/30 12:44:44 a. m. GMT-5,La Libertad,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,No,No,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);Django (Python);Spring Boot (Java),jQuery;AngularJS;Backbone.js,SASS;LESS;Stylus,,MySQL;Microsoft SQL Server,MongoDB,Microsoft Azure,"Documentación en la web;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova;Phonegap
2017/12/30 12:45:58 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Yii,jQuery;jQuery UI;Vue.js;Kendo,SASS;PostCSS,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;DynamoDB,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",,
2017/12/30 12:56:39 a. m. GMT-5,Tumbes,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,De 1 a 3 años,No conozco,Laravel (PHP);Django (Python);Spring Boot (Java),jQuery;jQuery UI;React,SASS;Stylus;Pug,,MySQL;Microsoft SQL Server,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Digital Ocean,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android,
2017/12/30 1:02:11 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 3501 a 4500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,JSF,jQuery;AngularJS;Sencha,SASS,,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",Android,
2017/12/30 1:03:10 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,,jQuery;jQuery UI,Stylus,Gulp,,,,Documentación en la web,Android;Webapps móviles (híbridas para cualquier plataforma),
2017/12/30 1:23:15 a. m. GMT-5,La Libertad,17 - 23 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente e independiente,No,Sí,,,Sí,Menos de 1500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI,SASS,,MySQL;Microsoft SQL Server,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2017/12/30 3:42:33 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como dependiente,,,No,,No,De 3501 a 4500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Spring Boot (Java),jQuery;jQuery UI;Vue.js,SASS,Prepros,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis;Apache Cassandra;CouchDB,Google Cloud Platform;Microsoft Azure;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Phonegap
2017/12/30 6:32:59 a. m. GMT-5,La Libertad,31 - 40 años,Hombre,Maestría,Mayor a 10 años,Trabajo como independiente,,,,Sí,No,De 5501 a más,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,Más de 6 años,De 4 a 6 años,Más de 6 años,De 1 a 3 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;React;Vue.js;Sencha,LESS,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis;Apache Cassandra;CouchDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Apache Cordova;Phonegap;Reac Native
2017/12/30 6:40:23 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Consola,Menos de 1 año,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP),,,,MySQL,MongoDB,,Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto,Android,
